1, 2
0.1, 0.09412789, -0.4
-0.125, -0.12247474747474747, -0.11994949494949494, -0.11742424242424243, -0.1148989898989899, -0.11237373737373738, -0.10984848484848485, -0.10732323232323232, -0.10479797979797979, -0.10227272727272727, -0.09974747474747475, -0.09722222222222222, -0.0946969696969697, -0.09217171717171717, -0.08964646464646464, -0.08712121212121213, -0.08459595959595959, -0.08207070707070707, -0.07954545454545454, -0.07702020202020202, -0.07449494949494949, -0.07196969696969696, -0.06944444444444445, -0.0669191919191919, -0.06439393939393939, -0.061868686868686865, -0.05934343434343434, -0.05681818181818181, -0.05429292929292928, -0.05176767676767677, -0.04924242424242424, -0.04671717171717171, -0.044191919191919185, -0.04166666666666666, -0.03914141414141413, -0.0366161616161616, -0.03409090909090909, -0.03156565656565656, -0.029040404040404033, -0.026515151515151505, -0.023989898989898978, -0.02146464646464645, -0.018939393939393936, -0.01641414141414141, -0.013888888888888881, -0.011363636363636354, -0.008838383838383826, -0.006313131313131298, -0.0037878787878787845, -0.0012626262626262569, 0.0012626262626262708, 0.0037878787878788123, 0.006313131313131326, 0.00883838383838384, 0.011363636363636381, 0.013888888888888895, 0.016414141414141437, 0.01893939393939395, 0.021464646464646464, 0.023989898989899006, 0.02651515151515152, 0.02904040404040406, 0.031565656565656575, 0.034090909090909116, 0.03661616161616163, 0.039141414141414144, 0.041666666666666685, 0.0441919191919192, 0.04671717171717174, 0.049242424242424254, 0.051767676767676796, 0.05429292929292931, 0.05681818181818182, 0.059343434343434365, 0.06186868686868688, 0.06439393939393942, 0.06691919191919193, 0.06944444444444445, 0.07196969696969699, 0.0744949494949495, 0.07702020202020204, 0.07954545454545456, 0.0820707070707071, 0.08459595959595961, 0.08712121212121213, 0.08964646464646467, 0.09217171717171718, 0.09469696969696972, 0.09722222222222224, 0.09974747474747478, 0.10227272727272729, 0.1047979797979798, 0.10732323232323235, 0.10984848484848486, 0.1123737373737374, 0.11489898989898992, 0.11742424242424243, 0.11994949494949497, 0.12247474747474749, 0.125
-1.0, -0.98989898989899, -0.9797979797979798, -0.9696969696969697, -0.9595959595959596, -0.9494949494949495, -0.9393939393939394, -0.9292929292929293, -0.9191919191919192, -0.9090909090909091, -0.898989898989899, -0.8888888888888888, -0.8787878787878788, -0.8686868686868687, -0.8585858585858586, -0.8484848484848485, -0.8383838383838383, -0.8282828282828283, -0.8181818181818181, -0.8080808080808081, -0.797979797979798, -0.7878787878787878, -0.7777777777777778, -0.7676767676767676, -0.7575757575757576, -0.7474747474747474, -0.7373737373737373, -0.7272727272727273, -0.7171717171717171, -0.7070707070707071, -0.696969696969697, -0.6868686868686869, -0.6767676767676767, -0.6666666666666666, -0.6565656565656566, -0.6464646464646464, -0.6363636363636364, -0.6262626262626263, -0.6161616161616161, -0.606060606060606, -0.5959595959595959, -0.5858585858585859, -0.5757575757575757, -0.5656565656565656, -0.5555555555555556, -0.5454545454545454, -0.5353535353535352, -0.5252525252525252, -0.5151515151515151, -0.505050505050505, -0.4949494949494949, -0.48484848484848475, -0.4747474747474747, -0.46464646464646464, -0.4545454545454545, -0.4444444444444444, -0.43434343434343425, -0.4242424242424242, -0.41414141414141414, -0.404040404040404, -0.3939393939393939, -0.38383838383838376, -0.3737373737373737, -0.36363636363636354, -0.3535353535353535, -0.3434343434343434, -0.33333333333333326, -0.3232323232323232, -0.31313131313131304, -0.303030303030303, -0.2929292929292928, -0.28282828282828276, -0.2727272727272727, -0.26262626262626254, -0.2525252525252525, -0.24242424242424232, -0.23232323232323226, -0.2222222222222222, -0.21212121212121204, -0.202020202020202, -0.19191919191919182, -0.18181818181818177, -0.1717171717171716, -0.16161616161616155, -0.1515151515151515, -0.14141414141414133, -0.13131313131313127, -0.1212121212121211, -0.11111111111111105, -0.10101010101010088, -0.09090909090909083, -0.08080808080808077, -0.07070707070707061, -0.06060606060606055, -0.050505050505050386, -0.04040404040404033, -0.030303030303030276, -0.02020202020202011, -0.010101010101010055, 0.0
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, nan, nan, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, nan, nan, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, nan, 145835.38791925667, 97999.36487615999, nan, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, nan, nan, 99463.06867516997, 920.5191005654216, 407.75754618796566, 347.7982178583565, 1012.9178209550666, 147719.91877546205, nan, nan, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
