26
-0.7777777777777778,-0.5555555555555556,-0.33333333333333337,-0.11111111111111116,0.11111111111111116,0.33333333333333326,0.5555555555555554,0.7777777777777777
-0.7777777777777778,-0.5555555555555556,-0.33333333333333337,-0.11111111111111116,0.11111111111111116,0.33333333333333326,0.5555555555555554,0.7777777777777777
-0.7777777777777778,-0.5555555555555556,-0.33333333333333337,-0.11111111111111116,0.11111111111111116,0.33333333333333326,0.5555555555555554,0.7777777777777777
8,8,8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,11716886.391563851,11038507.483791016,nan,nan,nan
nan,nan,11379024.459615279,12156118.102268655,12272627.160819538,11038183.48358192,nan,nan
nan,11524069.015406255,11891352.336754482,12257401.908136789,12380476.27067579,13036034.423395775,12214753.532755759,nan
nan,10622542.536526658,10744083.249189358,12672606.984939214,13113483.107195273,12318025.18044018,12796526.133033542,nan
nan,nan,12695000.962063393,12920122.450106662,12115801.603640348,12035442.101991642,nan,nan
nan,nan,nan,11963427.804474546,12014554.982391585,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,11898730.563943934,10727713.532708291,nan,nan,nan
nan,11383827.975963987,12020413.094155537,11337822.70987428,11225891.40961923,11322250.327853996,10322682.427959539,nan
nan,11037658.330660516,11431542.4951265,11530082.459989227,11123918.588640992,11852837.584687963,11946732.04575368,nan
9830022.467278846,9969386.143439474,11640450.841550358,11525495.964224014,11557400.791254327,12259527.099738358,11977164.253561618,10801199.524143178
9629621.374223659,10530423.123722186,11015517.416755833,10289775.764674876,11261061.191927075,13222792.10608157,11842119.08927903,10910587.71504131
nan,11220378.622374082,11092155.37553376,11094567.794962041,11599353.758749992,12996734.753734222,11980394.453032952,nan
nan,10766060.428868469,10719510.429024393,11878275.315051181,11699991.85615345,13189162.377226979,12588873.024899404,nan
nan,nan,nan,12098211.00416173,12023641.439049056,nan,nan,nan
nan,nan,11485218.550151756,10680023.15622404,11018871.532308046,11349417.321621826,nan,nan
nan,11300858.797769636,11540697.578746513,11108860.472300172,10838929.91409205,11772362.87001923,11417247.904846046,nan
10401711.710003125,11300858.797769636,11123181.024089353,11552863.23528709,11096600.818004407,10315228.074706681,10049964.451539695,9776644.772238147
9552516.667905834,9547098.99792024,10664985.00684322,11006467.897211015,11020545.712242935,10226289.671021692,10370022.084365726,9143654.11495028
9779312.389048303,10242943.898730665,10073755.655471032,10317390.868142134,10655231.511348527,10821094.205983207,9809235.558166364,9164732.384707136
10090184.887174439,10543551.79703569,10038157.119387083,10637247.321934603,10895094.013883162,10905373.464806966,9553466.719679262,9335214.34293155
nan,11335435.694690946,11402160.079363817,12091850.415122136,11083587.806824507,11816643.389482249,10472969.442080293,nan
nan,nan,10286844.568586882,11174325.632599639,12285078.696658805,11831354.485793673,nan,nan
nan,10816556.546679832,10806436.60883067,11160130.684579913,11638764.452140354,11112341.691325428,11295116.38212645,nan
10728699.192735773,10818511.230478553,11271584.17161988,10780308.87109367,10648043.115579937,11006647.607063282,10945918.234280474,10524458.24848053
10472948.908262461,10798927.22127664,11048737.301026013,10941536.604030212,10392526.262207974,10276178.071244285,9409157.304350639,9208501.873441193
9595633.083521696,9998349.282264309,10612212.905738614,10133923.024372159,9688087.918562345,9597056.908241384,8947214.303864084,8712362.247652449
9565282.041140521,10091224.034580942,9514150.477466179,9841842.283365667,10141193.31548953,9660510.97968546,9506714.283333842,8484341.273776224
10601104.404316133,11246216.597156296,10845824.609298041,11079078.960610997,11326522.261069078,10331532.285572281,9104720.961928576,9249147.745397005
10115897.23680475,9926001.177169036,9707294.759293217,10005947.792470612,10761879.510911701,10764936.394859493,10018826.831148915,9915574.733637586
nan,10337321.88363892,9747398.548980413,10486311.72369378,10842702.230253207,11184863.68251408,10807299.022424389,nan
nan,11100997.594162345,10666500.7623521,10508244.312226824,10977146.570712004,10873449.543182258,11659497.381691176,nan
10248935.37627006,10702746.435453158,9907248.790174395,10686639.21321362,10565038.429216702,10804126.202030074,11253841.948362276,10356329.475609463
10169556.094108462,10732676.287300574,9825636.322917297,9996943.814219188,9856549.191313934,10526276.297859106,9833338.990878174,9232702.603341613
9254669.960277434,9850622.792906381,10439424.893092148,10042184.955044154,10132966.777644144,9080169.023711832,8895841.48918933,8572554.389085464
10215616.874482648,10675928.650000853,11046449.11102709,10946026.436784498,9890463.101152766,9215913.426321225,8752074.125619298,8202194.380474712
9277263.27665238,9713168.94543485,9692888.06369913,10148550.293653224,9516971.68798616,10311067.323040742,9632741.135202093,8914832.218419153
9603390.930471243,10302673.269664237,10568538.00815659,9619046.639955766,10447574.948694404,10526493.197551897,9638653.12894511,9199617.486937687
nan,10493353.132936154,10313151.19591482,10173024.336903851,11690578.416719696,10453343.268604754,9576009.8566631,nan
nan,nan,9862379.91552245,10011415.354741782,10411357.789148156,11346075.373097245,nan,nan
nan,9848466.48122184,9791356.62656869,9540207.300432328,10671790.958510028,10559351.879392207,11204868.435800336,nan
9857569.416573588,10424277.693859478,10013728.29876548,9720662.559709445,9934253.748795375,9673451.111673554,10055255.758585501,9895005.545752272
10437304.196337815,10599162.638961788,10282117.461705951,10496137.548806628,10603878.707685124,9688205.634277478,9125385.71679749,8688554.48258411
9429933.612479594,10147929.138120161,10315331.916912789,9771856.510821112,11601587.950625975,9747093.877782032,9273500.934374372,8125725.080917145
9546034.16886535,10190452.245555254,10222552.69049738,10232898.528515246,10972772.533928983,10632827.565073596,9663833.713439427,8394504.529592331
nan,10742206.853651911,10749467.688768864,10918793.89859075,10596401.282220827,10668499.613413598,9991633.162811205,nan
nan,nan,10628067.049188435,11187446.019605765,11297544.484412875,11086885.217074648,nan,nan
nan,nan,nan,10248212.121655004,10665380.891406717,nan,nan,nan
nan,9816620.29786684,10379737.915229715,10300416.794421298,10495935.099220838,11426226.322992634,10615349.678883811,nan
nan,9981753.79465559,10466302.30160112,10636212.858055715,11145042.500623988,11418939.939547865,10706390.521691088,nan
10433267.843616333,11143954.110975012,11674215.169815985,11826609.579763673,11874504.982477598,11427250.830157302,11132310.654069591,10382262.494358957
9953475.334181197,10644466.930967674,11385206.884088539,11399650.5154108,12076781.095104001,11798270.934061952,11954599.20503819,10236403.061499592
nan,10483510.656089054,11429271.604453646,10833543.826786228,11690266.827454675,11495796.274252353,9954575.454267628,nan
nan,10818153.786618808,10796947.978914037,11434251.761191392,11231970.626735322,11643179.96872952,11184249.777046388,nan
nan,nan,nan,11020377.642788693,11493800.440768197,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,11536979.378257731,12707590.140733553,nan,nan,nan
nan,nan,12320392.346426088,13080744.478361635,14167191.791111067,14307979.413195815,nan,nan
nan,12239020.110277174,12516340.467569927,13479947.449149266,14851330.68833223,14498478.90793569,13899568.799674693,nan
nan,12199498.927921925,12203467.721080527,13331244.159824612,13425725.355861679,14236539.903127287,14069237.301469835,nan
nan,nan,12220201.131978776,12083226.951183219,13133836.768922295,15005302.418643788,nan,nan
nan,nan,nan,11508111.617383301,13244482.299598731,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
